﻿items.armor.curses.antientropy.name,%s of anti-entropy,反熵%s
items.spells.summonelemental.desc_fire,"The spell is currently hot to the touch, it will summon a _fire elemental_. You can imbue a different item, but the spell will lose its current imbue.",这个晶柱触感灼热，可用来召唤出一个_火焰元素_。你可以通过灌注的方法覆盖当前的充能类型。
items.spells.summonelemental.desc_frost,"The spell is currently cold to the touch, it will summon a _frost elemental_. You can imbue a different item, but the spell will lose its current imbue.",这个晶柱触感冰冷，可用来召唤出一个_冰霜元素_。你可以通过灌注的方法覆盖当前的充能类型。
items.spells.summonelemental.desc_shock,"The spell is currently radiating static energy, it will summon a _shock elemental_. You can imbue a different item, but the spell will lose its current imbue.",这个晶柱散发着静电能量，可用来召唤出一个_电光元素_。你可以通过灌注的方法覆盖当前的充能类型。
items.spells.summonelemental.desc_chaos,"The spell is currently radiating chaotic energy, it will summon a _chaos elemental_. You can imbue a different item, but the spell will lose its current imbue.",这个晶柱散发着混沌能量，可用来召唤出一个_混沌元素_。你可以通过灌注的方法覆盖当前的充能类型。
items.spells.targetedspell.prompt,Choose a target,选择一个目标
items.spells.targetedspell.inv_title,Infuse an item,灌注一件物品
items.spells.telekineticgrab.name,telekinetic grab,念力结晶
items.spells.telekineticgrab.cant_grab,You can't grab that.,你无法抓取它。
items.spells.telekineticgrab.no_target,There's nothing to grab there.,这里没什么可抓取的东西。
items.spells.telekineticgrab.desc,"This spell allows the caster to remotely grab all items at a location, or all thrown weapons stuck to an enemy!\n\nIt can't be used to grab items that someone else owns, or to grab containers like chests.","这个结晶允许使用者远程抓取一格所有的物体，或从敌人身上取回卡住的投掷武器！\n\n结晶无法用于抓取其他角色拥有的物品，也无法抓取诸如箱子这般的容器。"
items.spells.unstablespell.name,unstable spell,无序结晶
items.spells.unstablespell.desc,"This small black square crystal has shifting runic symbols on each of its surfaces.\n\nWhen activated, it will trigger the effect of a random scroll. The scroll effect will always be combat focused if there are enemies in your field of view, and will always be non-combat focused otherwise.","这个小型黑色立方结晶的表面附有流动着的符文碎形。\n\n视野内有敌人时，激活它会触发一个随机的战斗类卷轴效果；而视野内没有敌人时激活它会触发一个非战斗类卷轴效果"
items.spells.wildenergy.name,wild energy,强能结晶
items.spells.wildenergy.desc,"This spell contains some of the cursed energy which powered DM-300. When cast, it will recharge your wands and worn artifacts, while also triggering a random cursed wand effect. You are able to choose a direction for this cursed magic to shoot in, however.",这个结晶中含有部分驱动DM-300的诅咒之力。当施放时，它会为你的法杖与佩戴着的神器充能，但同时也会随机触发一种诅咒法杖效果。幸运的是你可以指定这种诅咒魔法的施放方向。
items.stones.inventorystone.ac_use,USE,使用
items.stones.runestone$placeholder.name,runestone,符石
items.stones.stoneofaggression.name,stone of aggression,敌意符石
items.stones.stoneofaggression.desc,"When this stone is thrown at an ally or enemy, all nearby enemies will prefer to attack that character for a short time. \n\nBoss enemies can resist the effect however, reducing the duration significantly and taking less damage from their minion's attacks.","当把这颗符石丢向一个盟友或敌人时，附近所有敌人都会在短时间内优先攻击该单位。\n\n然而，Boss对符石效果具有抗性，能够显著降低符石效果持续时间并降低其随从对Boss造成的伤害。"
items.stones.stoneofaggression$aggression.name,targeted,众矢之的
items.stones.stoneofaggression$aggression.desc,"Manipulative magic is making all nearby enemies prefer to attack this character.\n\nTurns remaining: %s.","支配魔法正使附近所有敌人优先攻击该单位。\n\n剩余回合数：%s"
items.stones.stoneofaugmentation.name,stone of augmentation,强化符石
items.stones.stoneofaugmentation.inv_title,Augment an item,强化一件物品
items.stones.stoneofaugmentation.desc,"This runestone possesses potent magic which can augment equipment to enhance one property at the cost of another.\n\nUsing on a weapon will allow you to enhance either speed or damage.\n\nUsing on armor will allow you to enhance either defense or evasion.","这颗符石内的强力魔法可以用于强化装备的一种属性，代价是会减弱另一种属性。\n\n用于武器可以强化伤害或者速度。\n\n用于护甲可以强化防御或者闪避。"
items.stones.stoneofaugmentation$wndaugment.choice,What would you like to enhance?,你想强化哪个属性？
items.stones.stoneofaugmentation$wndaugment.speed,Speed,速度
items.stones.stoneofaugmentation$wndaugment.damage,Damage,伤害
items.stones.stoneofaugmentation$wndaugment.evasion,Evasion,闪避
items.stones.stoneofaugmentation$wndaugment.defense,Defense,防御
items.stones.stoneofaugmentation$wndaugment.none,Remove Augmentation,移除强化
items.stones.stoneofaugmentation$wndaugment.cancel,Never mind,算了
items.stones.stoneofblast.name,stone of blast,震爆符石
items.stones.stoneofblast.desc,"This runestone will instantly explode at the location it is thrown to. Just like a bomb, the explosion will deal damage to anything nearby.",这颗符石被扔出后会在目的地立即爆炸。和炸弹一样，爆炸会对范围内的所有东西造成伤害。
items.stones.stoneofblink.name,stone of blink,闪现符石
items.stones.stoneofblink.desc,This runestone will teleport the user to the location it is thrown to.,这颗符石被扔出后会把使用者传送到目的地。
items.stones.stoneofclairvoyance.name,stone of clairvoyance,明示符石
items.stones.stoneofclairvoyance.desc,This stone will instantly reveal all tiles in a very wide area around where it is thrown. Its effect will even reach through walls.,这颗符石被扔出后会瞬间搜索以目的地为中心的巨大范围内的所有地格。该搜索能力甚至不受墙壁的阻隔。
items.stones.stoneofdeepsleep.name,stone of deep sleep,沉睡符石
items.stones.stoneofdeepsleep.desc,"When this stone is thrown at an enemy, it will put them into a deep magical sleep. Magically slept enemies will sleep forever until disturbed.",当把这颗符石掷向一个敌人时，被命中的敌人会陷入魔法睡眠。陷入魔法睡眠的敌人会永远沉睡下去，除非受到外界打扰。
items.stones.stoneofdetectmagic.name,stone of detect magic,探魔符石
items.stones.stoneofdetectmagic.inv_title,Detect an item,探测一件物品
items.stones.stoneofdetectmagic.detected_none,You don't detect any magic affecting this item.,你探测出没有魔法影响着这件物品。
items.stones.stoneofdetectmagic.detected_both,You detect both positive and malevolent magic affecting this item!,你探测出正面魔法和诅咒魔法同时影响着这件物品！
items.stones.stoneofdetectmagic.detected_good,You detect positive magic affecting this item!,你探测出正面魔法影响着这件物品！
items.stones.stoneofdetectmagic.detected_bad,You detect malevolent magic affecting this item!,你探测出诅咒魔法影响着这件物品！
items.stones.stoneofdetectmagic.desc,This runestone is able to detect magic affecting an item. Using this stone on an unidentified item will tell you if it is affected by a malevolent curse and whether it is affected by positive magic such as an enchantment or upgrades.,这颗符石可以探测出影响着一件物品的魔法。对一件未鉴定物品使用此符石会为你探测其是否受到诅咒魔法的影响，以及其是否受到附魔或升级的正面魔法的影响。
items.stones.stoneofdisarming.name,stone of disarming,拆除符石
items.stones.stoneofdisarming.desc,This runestone holds magic that can disable malicious traps hidden throughout the dungeon. It will disarm up to 9 traps around the area it is thrown at.,这颗符石具有破坏隐藏于地牢各处的有害陷阱的魔力。它的魔力最多能拆除以投掷目的地为中心的一片区域内的9个陷阱。
items.stones.stoneofenchantment.name,stone of enchantment,附魔符石
items.stones.stoneofenchantment.inv_title,Enchant an item,附魔一件物品
items.stones.stoneofenchantment.weapon,Your weapon glows in the darkness!,你的武器在暗中微微发光！
items.stones.stoneofenchantment.armor,Your armor glows in the darkness!,你的护甲在暗中微微发光！
items.stones.stoneofenchantment.desc,"This runestone possesses enchanting magic. Unlike a scroll of upgrade, it will not increase the direct power of an item, but will instead imbue a weapon or armor with an enchantment, granting it a new power.",这颗符石拥有施加附魔的能力。和升级卷轴不同，它不会直接加强一个道具的能力，但能给武器或者护甲施加附魔，使其拥有新的特性。
items.stones.stoneoffear.name,stone of fear,恐惧符石
items.stones.stoneoffear.desc,"When this stone is thrown onto a character they will be overwhelmed with terror, and will turn and flee. Attacking a fleeing character will shorten the effect.",当把这颗符石掷向一个盟友或敌人时，被命中的角色会陷入深深的恐惧中，无法克制地逃离。攻击会刺激其从恐惧中更快恢复。
items.stones.stoneofflock.name,stone of flock,羊群符石
items.stones.stoneofflock.desc,This runestone summons magical sheep for a short time around the location it is thrown to.,这颗符石被扔出后会在目的地召唤一群魔法绵羊。
items.stones.stoneofintuition.name,stone of intuition,感知符石
items.stones.stoneofintuition.inv_title,Select an item,选择一件物品
items.stones.stoneofintuition.desc,"This runestone holds a weaker version of the magic found in scrolls of identification. Rather than directly identifying an item, it will work on your intuition, allowing you to attempt to identify the type of a potion, scroll, or ring by guessing.",这块符石含有的魔法就像一个弱化版的鉴定卷轴。和鉴定卷轴那种直接识别物品的魔法不一样，它会加强你的直觉，让你通过猜测来试图鉴定一种药水、卷轴或者戒指的种类。
items.stones.stoneofintuition.break_info,"You can use stones of intuition twice before one breaks, _your next use won't consume a stone_.",你可以在其粉碎前使用两次感知符石，_你的下次使用不会消耗符石_。
items.stones.stoneofintuition.break_warn,"You've used a stone of intuition previously, so _your next use will consume a stone_.",你之前已经使用了一次感知符石，所以_你的下次使用将会消耗符石_。
items.stones.stoneofintuition$wndguess.text,"Guess what the type of the unidentified item is. If you guess correctly, the type will be identified!",猜猜这件未鉴定道具是什么。猜对了的话就会鉴定物品种类！
items.stones.stoneofintuition$wndguess.correct,Correct. The item's type has been identified!,猜测正确，此类物品已被鉴定！
items.stones.stoneofintuition$wndguess.incorrect,Your guess was incorrect.,你猜错了。
items.stones.stoneofintuition$wndguess.break,Your stone of intuition crumbles to dust...,你的感知符石化为了尘土...
items.stones.stoneofshock.name,stone of shock,电击符石
items.stones.stoneofshock.desc,"This runestone unleashes a blast of electrical energy which briefly stuns all nearby targets, and grants the thrower wand charge for each target hit.",这颗符石被扔出后会爆出一阵电能量，短暂麻痹范围内所有目标并根据电到的目标数量恢复使用者的法杖充能。
items.trinkets.chaoticcenser.name,chaotic censer,混沌香炉
items.trinkets.chaoticcenser.spew,Your censer is about to spew: %s.,你的香炉将要喷出：%s。
items.trinkets.chaoticcenser.desc,"After some time in the alchemy pot this incense-burning censer appears to be producing smoke all on its own! These gasses build up and will spew forth from the censer toward enemies at semi-random intervals. It seems capable of producing all sorts of gasses, but you'll get a moment of warning just before the censer activates.",在炼金釜内炼制一段时间后，这个原用于焚香的香炉竟开始自发产生气体！这些气体会在炉内积聚起来，并间歇性地向敌人喷去。香炉似乎能够生成各式各样的气体，但在气体释放前你会得到片刻的预警。
items.trinkets.chaoticcenser.typical_stats_desc,Typically this trinket will spawn a harmful gas near an enemy roughly every _%d_ turns. Gasses will only appear when enemies are present. At higher levels these gases are more likely to be exotic and powerful.,这件饰物通常会每经_%d_±回合在敌人附近生成一团有害气体。气体仅在敌人存在时生成。更高等级的香炉生成稀有而强力的气体的可能性更高。
items.trinkets.chaoticcenser.stats_desc,"At its current level, this trinket will spawn a harmful gas near an enemy roughly every _%d_ turns. Gasses will only appear when enemies are present. At higher levels these gases are more likely to be exotic and powerful.",在当前等级下，这件饰物会每经_%d_±回合在敌人附近生成一团有害气体。气体仅在敌人存在时生成。更高等级的香炉生成稀有而强力的气体的可能性更高。
items.trinkets.dimensionalsundial.name,dimensional sundial,位面日晷
items.trinkets.dimensionalsundial.warning,"Your sundial isn't casting a shadow, you feel uneasy.",你的日晷不再显影，这使你倍感不安。
items.trinkets.dimensionalsundial.desc,"This small handheld sundial is somehow able to cast a shadow in the depths of the dungeon, even if you aren't holding it upright. Even more strangely, the shadow's position seems to have no relation to the sun in this world. When no shadow is cast, the sundial seems to attract danger.",不知为何，这块小型手持式日晷能在地牢深处显影，甚至你不将其摆正也是如此。更奇怪的是，晷影的方位似乎与这个世界的太阳无关。当晷影不再显现时，日晷似乎会招致危险。
items.trinkets.dimensionalsundial.typical_stats_desc,"Typically this trinket will reduce the spawning rate of enemies by _%1$d%%_ during the daytime in real life (8am-8pm), and increase the spawning rate of enemies by _%2$d%%_ at nighttime (8pm-8am).",这件饰物通常会在实时日间(早上8:00到晚上8:00)降低_%1$d%%_的敌人生成速率并在实时夜间(晚上8:00到早上8:00)提升_%2$d%%_的敌人生成速率。
items.trinkets.dimensionalsundial.stats_desc,"At its current level, this trinket will reduce the spawning rate of enemies by _%1$d%%_ during the daytime in real life (8am-8pm), and increase the spawning rate of enemies by _%2$d%%_ at nighttime (8pm-8am).",在当前等级下，这件饰物会在实时日间(早上8:00到晚上8:00)降低_%1$d%%_的敌人生成速率并在实时夜间(晚上8:00到早上8:00)提升_%2$d%%_的敌人生成速率。
items.trinkets.exoticcrystals.name,exotic crystals,奇异能晶
items.trinkets.exoticcrystals.desc,"These small pink crystals have the same shape as crystals of alchemical energy. While they can't be used for energy directly, they seem to be somehow influencing the potions and scrolls you find.",这些小型粉色晶体有着和炼金能量晶体一样的几何外形。尽管它们不能直接为炼金实验供能，但不知为何似乎能影响你找到的药剂和卷轴。
items.trinkets.exoticcrystals.typical_stats_desc,"Typically this trinket will replace _%s%%_ of potion or scroll drops with their exotic equivalents. This does not affect potions of strength, scrolls of upgrade, or items that are generated to help solve hazard rooms.",这件饰物通常会使_%s%%_的药剂、卷轴转化为其对应的合剂、秘卷。转化不会影响力量药剂，升级卷轴与为解决特殊房间提供帮助而生成的物品。
items.trinkets.exoticcrystals.stats_desc,"At its current level this trinket will replace _%s%%_ of potion or scroll drops with their exotic equivalents. This does not affect potions of strength, scrolls of upgrade, or items that are generated to help solve hazard rooms.",在当前等级下，这件饰物会使_%s%%_的药剂、卷轴转化为其对应的合剂、秘卷。转化不会影响力量药剂，升级卷轴与为解决特殊房间提供帮助而生成的物品。
items.trinkets.eyeofnewt.name,eye of newt,蝾螈魔眼
items.trinkets.eyeofnewt.desc,"This golden and black newt's eye is a common ingredient, now enhanced into a trinket. The eye seems to be reducing your vision in exchange for letting you see things in other ways.",这颗黑金色的蝾螈之眼是一种常见的炼金原料，而现在已被附魔强化为一件饰物。魔眼似乎降低了你的视力，以为你换取其他形式的视觉。
items.trinkets.eyeofnewt.typical_stats_desc,"Typically this trinket will reduce your vision range by _%1$s%%_, but will also grant you mind vision on enemies within _%2$d_ tiles.",这件饰物通常会降低你_%1$s%%_的视野范围，但也会使你获得对_%2$d_格范围内敌人的灵视感知。
items.trinkets.eyeofnewt.stats_desc,"At its current level this trinket will reduce your vision range by _%1$s%%_, but will also grant you mind vision on enemies within _%2$d_ tiles.",在当前等级下，这件饰物会降低你_%1$s%%_的视野范围，但也会使你获得对_%2$d_格范围内敌人的灵视感知。
items.trinkets.mimictooth.name,mimic tooth,拟箱利齿
items.trinkets.mimictooth.desc,"This large sharp tooth must have been pulled from a very unhappy mimic. It seems to be influencing the mimics of the dungeon, making them more frequent and dangerous.",这颗大尖牙肯定是强行从某个非常倒霉的宝箱怪口中拔下来的。它似乎能影响地牢中的宝箱怪，使它们更常见，也更危险。
items.trinkets.mimictooth.typical_stats_desc,"Typically this trinket will make all kinds of mimic _%1$sx_ more common and much more difficult to detect, but will also increase the amount of loot they drop. Each dungeon floor will also have a _%2$s%%_ chance to contain an extra stealthy ebony mimic.",这件饰物通常会使所有类型的宝箱怪的出现频率变为原频率的_%1$s倍_，并使宝箱怪更难以识别，而其掉落的战利品也会更加丰厚。此外，每层地牢还会有_%2$s%%_的概率额外带有一个隐藏的黑檀宝箱怪。
items.trinkets.mimictooth.stats_desc,"At its current level this trinket will make all kinds of mimic _%1$sx_ more common and much more difficult to detect, but will also increase the amount of loot they drop. Each dungeon floor will also have a _%2$s%%_ chance to contain an extra stealthy ebony mimic.",在当前等级下，这件饰物会使所有类型的宝箱怪的出现频率变为原频率的_%1$s倍_，并使宝箱怪更难以识别，而其掉落的战利品也会更加丰厚。此外，每层地牢还会有_%2$s%%_的概率额外带有一个隐藏的黑檀宝箱怪。
items.trinkets.mossyclump.name,mossy clump,苔藓丛簇
items.trinkets.mossyclump.desc,"This clump of wet moss seems to hold onto its moisture no matter how hard you squeeze it. It seems to be magically tied to the dungeon itself, making grass and water more likely to appear.",无论你如何用力挤压它，这团潮湿的苔藓似乎都能保持其水分。它似乎通过魔法与地牢本身形成链接，促使草木流水频繁出现。
items.trinkets.mossyclump.typical_stats_desc,"Typically this trinket will make _%d%%_ of unthemed floors become filled with either water or grass instead.\n\nThis trinket costs a very large amount of energy to upgrade.","这件饰物通常会使_%d%%_的无感觉楼层获得流水或草木感觉。\n\n这件饰物升级所消耗的炼金能量较多。"
items.trinkets.mossyclump.stats_desc,"At its current level this trinket will make _%d%%_ of unthemed floors become filled with either water or grass instead.\n\nThis trinket costs a very large amount of energy to upgrade.","在当前等级下，这件饰物会使_%d%%_的无感觉楼层获得流水或草木感觉。\n\n这件饰物升级所消耗的炼金能量较多。"
items.trinkets.parchmentscrap.name,parchment scrap,残魔余卷
items.trinkets.parchmentscrap.desc,"This little scrap of parchment looks like it came from a scroll. It has retained some of its magic, and it seems to be influencing weapons and armor found in the dungeon.",这块小小的羊皮纸残片看起来来自一张卷轴。它仍附有一丝残存的魔力，并且似乎能影响在地牢中找到的武器和护甲。
items.trinkets.parchmentscrap.typical_stats_desc,"Typically this trinket will make enchantments and glyphs _%dx_ as common, and curses on weapons and armor _%sx_ as common. Curses on wands, rings, or artifacts are not affected.\n\nThis trinket costs a moderately large amount of energy to upgrade.","这件饰物通常会使附魔与刻印的出现频率变为原频率的_%d倍_，而武器与护甲的诅咒的出现频率变为原频率的_%s倍_。法杖、戒指与神器的诅咒不受影响。\n\n这件饰物升级所消耗的炼金能量较多。"
items.trinkets.parchmentscrap.stats_desc,"At its current level this trinket will make enchantments and glyphs _%dx_ as common, and curses on weapons and armor _%sx_ as common. Curses on wands, rings, or artifacts are not affected.\n\nThis trinket costs a moderately large amount of energy to upgrade.","在当前等级下，这件饰物会使附魔与刻印的出现频率变为原频率的_%d倍_，而武器与护甲的诅咒的出现频率变为原频率的_%s倍_。法杖、戒指与神器的诅咒不受影响。\n\n这件饰物升级所消耗的炼金能量较多。"
items.trinkets.petrifiedseed.name,petrified seed,石化种子
items.trinkets.petrifiedseed.desc,"This seed has been fossilised, either by slow geological processes or by magic. The seed seems to be magically influencing the flora of the dungeon, occasionally replacing plant seeds with runestones.",这粒种子在缓慢的地质作用或法术作用的影响下石化了。它似乎通过魔法影响着地牢的植物群系，时不时使种子转化为符石。
items.trinkets.petrifiedseed.typical_stats_desc,"Typically this trinket will cause trampled grass to drop runestones instead of seeds _%1$s%%_ of the time, and will also cause high grass to drop items _%2$s%%_ more often.",这件饰物通常会有_%1$s%%_的概率使被践踏的高草掉落符石而非种子，还会使高草掉落物品的概率提升_%2$s%%_。
items.trinkets.petrifiedseed.stats_desc,"At its current level this trinket will cause trampled grass to drop runestones instead of seeds _%1$s%%_ of the time, and will also cause high grass to drop items _%2$s%%_ more often.",在当前等级下，这件饰物会有_%1$s%%_的概率使被践踏的高草掉落符石而非种子，还会使高草掉落物品的概率提升_%2$s%%_。
items.trinkets.ratskull.name,rat skull,巨鼠头骨
items.trinkets.ratskull.desc,"This macabre trinket isn't much larger than the skull of a normal rat, which is somehow a rarity down in this dungeon. The skull's magical influence seems to attract the more rare denizens of the dungeon, making them appear far more often.",这件可怕的饰物并不比正常老鼠的头骨大多少，但不知为何在这个地牢却很稀有。头骨的魔力似乎能吸引更多稀有的地牢住民，使它们更有可能出现。
items.trinkets.ratskull.typical_stats_desc,"Typically this trinket will make rare exotic enemies _%dx_ as likely to appear. The skull is only half as effective at attracting crystal mimics and armored statues, however.",这件饰物通常会使稀有敌人的出现频率变为原频率的_%d倍_。然而，头骨对于提升水晶宝箱怪和装甲石像出现频率效果减半。
items.trinkets.ratskull.stats_desc,"At its current level this trinket will make rare exotic enemies _%dx_ as likely to appear. The skull is only half as effective at attracting crystal mimics and armored statues, however.",在当前等级下，这件饰物会使稀有敌人的出现频率变为原频率的_%d倍_。然而，头骨对于提升水晶宝箱怪与装甲石像出现频率效果减半。
items.trinkets.saltcube.name,salt cube,盐晶立方
items.trinkets.saltcube.desc,"This large salt crystal was cut into an almost perfect cube shape, and it somehow managed to drain half the water from the alchemy pot instead of dissolving. It seems to be magically dehydrating and preserving the food you eat, extending the satiety you get, but also lessening your health restoration when not starving.",这块巨大的盐晶被切割成近乎完美的立方体，而不知为何盐晶成功吸收了炼金釜中一半的水分而非溶解于其中。它似乎通过魔法脱水并保存了你的食物，延长了你所得的饱腹感，但也减少了你不挨饿时的生命回复。
items.trinkets.saltcube.typical_stats_desc,"Typically this trinket will increase the amount of time before you grow hungry by _%1$s%%_, but will also reduce your rate of health regeneration by _%2$s%%_.",这件饰物通常会增加你_%1$s%%_的饥饿所需时间，但也会降低你_%2$s%%_的生命回复速率。
items.trinkets.saltcube.stats_desc,"At its current level this trinket will increase the amount of time before you grow hungry by _%1$s%%_, but will also reduce your rate of health regeneration by _%2$s%%_.",在当前等级下，这件饰物会增加你_%1$s%%_的饥饿所需时间，但也会降低你_%2$s%%_的生命回复速率。
items.trinkets.shardofoblivion.name,shard of oblivion,遗忘碎片
items.trinkets.shardofoblivion.desc,"After stewing in the alchemy pot, this small shard of cursed metal has changed to be made of... nothing? Light seems to bend around it, and it hovers in place when you aren't holding it. The shard seems to be magically drawing power from your ignorance, so it's probably best to not think about it too much.",经过炼金釜的烹煮，这一小块邪能碎片已经化为了...一片虚空？光线似乎在碎片边缘发生了弯曲，而只要你不握住它，它就会悬停在原地。碎片似乎通过魔法从你的无知中获得力量，所以对此最好不要想太多。
items.trinkets.shardofoblivion.typical_stats_desc,"Typically this trinket will increase the rate that enemies drop loot by 20%% for each piece of unidentified equipment you have equipped or recently used, to a max of _%d item(s)_. The shard will also prevent you from identifying equipment, but can be used to manually identify items that are ready for it.",这件饰物通常会根据你已经装备或最近使用的每件(最多_%d件_)未鉴定装备提升20%%的敌人掉落战利品的概率。碎片还会阻止你鉴定装备，你只能通过碎片手动鉴定符合鉴定条件的装备。
items.trinkets.shardofoblivion.stats_desc,"At its current level this trinket will increase the rate that enemies drop loot by 20%% for each piece of unidentified equipment you have equipped or recently used, to a max of _%d item(s)_. The shard will also prevent you from identifying equipment, but can be used to manually identify items that are ready for it.",在当前等级下，这件饰物会根据你已经装备或最近使用的每件(最多_%d件_)未鉴定装备提升20%%的敌人掉落战利品的概率。碎片还会阻止你鉴定装备，你只能通过碎片手动鉴定符合鉴定条件的装备。
items.trinkets.shardofoblivion.ac_identify,IDENTIFY,鉴定
items.trinkets.shardofoblivion.identify_prompt,Identify an Item,鉴定一件物品
items.trinkets.shardofoblivion.identify_ready,An item is ready to identify: %s.,符合鉴定条件的物品：%s
items.trinkets.shardofoblivion.identify_ready_worn,Your worn items are now all ready to identify.,你所装备的物品已符合鉴定条件。
items.trinkets.shardofoblivion.identify_not_yet,That item isn't ready to be identified yet.,这件物品尚未符合鉴定条件。
items.trinkets.shardofoblivion.identify,You identify the item!,你鉴定了这个物品！
items.trinkets.shardofoblivion$wandusetracker.name,Unidentified Wand Used,已使用未鉴定法杖
items.trinkets.shardofoblivion$wandusetracker.desc,"You have recently used an unidentified wand, which counts as one piece of used unidentified equipment for the shard of oblivion for a little while.\n\nTurns remaining: %s","你最近使用了一根未鉴定法杖，短期内遗忘碎片将其视为使用了一件未鉴定装备。\n\n效果剩余时长：%s回合"
items.trinkets.thirteenleafclover.name,thirteen leaf clover,十三叶草
items.trinkets.thirteenleafclover.desc,"Somehow stewing in the alchemy pot has caused this clover to grow a bunch of extra leaves! It's not really clear if this trinket is lucky or unlucky, perhaps this trinket will make your luck more chaotic?",不知为何，炼金釜的烹煮导致这株三叶草长出了一堆额外的叶片！这件饰物幸运与否暂且不知，也许只会增加你的运气的混乱程度？
items.trinkets.thirteenleafclover.typical_stats_desc,"Typically this trinket will cause you to deal maximum damage _%1$d%%_ of the time, and minimum damage _%2$d%%_ of the time.",这件饰物通常会使你有_%1$d%%_的概率造成最大伤害，而有_%2$d%%_的概率造成最小伤害。
items.trinkets.thirteenleafclover.stats_desc,"At its current level this trinket will cause you to deal maximum damage _%1$d%%_ of the time, and minimum damage _%2$d%%_ of the time.",在当前等级下，这件饰物会使你有_%1$d%%_的概率造成最大伤害，而有_%2$d%%_的概率造成最小伤害。
items.trinkets.trapmechanism.name,trap mechanism,陷阱元件
items.trinkets.trapmechanism.desc,"The core mechanism of one of the dungeon's pitfall traps, carefully carved out of the floor so it can be carried. It seems to be magically tied to the dungeon itself, making hazardous terrain more common but also increasing your affinity towards it.",地牢中某个塌方陷阱的核心元件，被小心地从地面中挖掘而出以便携带。它似乎通过魔法与地牢本身形成链接，促使险恶地形频繁出现，并增强了你对陷阱的探查能力。
items.trinkets.trapmechanism.typical_stats_desc,"Typically this trinket will make _%1$d%%_ of unthemed floors become filled with either traps or chasms instead. Additionally, _%2$d%%_ of the dungeon's hidden traps will instead be visible.",这件饰物通常会使_%1$d%%_的无感觉楼层获得陷阱或深渊感觉。此外，地牢中_%2$d%%_的隐藏陷阱会变得可见。
items.trinkets.trapmechanism.stats_desc,"At its current level this trinket will make _%1$d%%_ of unthemed floors become filled with either traps or chasms instead. Additionally, _%2$d%%_ of the dungeon's hidden traps will instead be visible.",在当前等级下，这件饰物会使_%1$d%%_的无感觉楼层获得陷阱或深渊感觉。此外，地牢中_%2$d%%_的隐藏陷阱会变得可见。
items.trinkets.vialofblood.name,vial of blood,凝血试管
items.trinkets.vialofblood.desc,"This thin vial contains the blood of some denizen of the dungeon, it moves slowly as you rotate the vial. It seems to be magically enhancing stronger healing effects, but also delaying them.",这根细长的试管内装有一些地牢住民的血液，当你转动试管时其中的血液也会随之缓慢流动。它似乎通过魔法增强而延迟了更强的治疗效果。
items.trinkets.vialofblood.typical_stats_desc,"Typically this trinket will increase the overall health you gain from drinking potions of healing, waterskins, or wells of health by _%1$s%%_. However, these healing effects will also occur more slowly, regenerating a maximum of _%2$s_ HP per turn (this scales with hero level).",这件饰物通常会增加你_%1$s%%_的饮用治疗药剂、水袋或生命之泉获得的治疗总量。但上述治疗效果也会更慢地起效，每回合最多回复英雄_%2$s点_生命值(最大治疗量随英雄等级成长而成长)。
items.trinkets.vialofblood.stats_desc,"At its current level this trinket will increase the overall health you gain from drinking potions of healing, waterskins, or wells of health by _%1$s%%_. However, these healing effects will also occur more slowly, regenerating a maximum of _%2$s_ HP per turn (this scales with hero level).",在当前等级下，这件饰物会增加你_%1$s%%_的饮用治疗药剂、水袋或生命之泉获得的治疗总量。但上述治疗效果也会更慢地起效，每回合最多回复英雄_%2$s点_生命值(最大治疗量随英雄等级成长而成长)。
items.trinkets.wondrousresin.name,wondrous resin,奇迹树脂
items.trinkets.wondrousresin.desc,"This shimmering blue resin appears to have the distilled essence of a cursed wand's magic. The magic from the alchemy pot has seemed to stabilize it somewhat, and it's now affecting your wands.",这团泛着微光的蓝色树脂看起来附有某根诅咒法杖魔法的纯化精华。炼金釜中的魔力似乎在一定程度上稳定了树脂的诅咒魔法，而这种魔法现在正影响着你的法杖。
items.trinkets.wondrousresin.typical_stats_desc,"Typically this trinket will force cursed wand effects to become neutral or positive _%1$s%%_ of the time, and will cause uncursed wands to fire an additional neutral or positive cursed zap _%2$s%%_ of the time.\n\nThis trinket costs a moderately large amount of energy to upgrade.","这件饰物通常会有_%1$s%%_的概率迫使诅咒法杖效果变得无害或有益，还会有_%2$s%%_的概率使无诅咒的法杖施放一次额外的无害或有益的诅咒法杖效果。\n\n这件饰物升级所消耗的炼金能量较多。"
items.trinkets.wondrousresin.stats_desc,"At its current level this trinket will force cursed wand effects to become neutral or positive _%1$s%%_ of the time, and will cause uncursed wands to fire an additional neutral or positive cursed zap _%2$s%%_ of the time.\n\nThis trinket costs a moderately large amount of energy to upgrade.","在当前等级下，这件饰物会有_%1$s%%_的概率迫使诅咒法杖效果变得无害或有益，还会有_%2$s%%_的概率使无诅咒的法杖施放一次额外的无害或有益的诅咒法杖效果。\n\n这件饰物升级所消耗的炼金能量较多。"
items.trinkets.trinketcatalyst.name,magical catalyst,魔能触媒
items.trinkets.trinketcatalyst.window_text,The water begins to glow as you add the catalyst. There are a few nearby items you could imbue with energy to turn into a magical trinket.,随着魔能触媒的置入，釜中的水逐渐泛起微光。你可以就近选择一件物品，注入炼金能量并将其炼成一件魔法饰物。
